,name,address,date,neg,neu,pos
0,DipDipDip Tatsu-Ya,"
        7301 Burnet Rd Ste 101 Austin, TX 78757
    ","
        7/14/2019
    ",0.047,0.742,0.211
1,Austin Daily Press,"
        1900 E Martin Luther King Blvd B Austin, TX 78702
    ","
        4/4/2017
    ",0.037,0.709,0.254
2,Austin Daily Press,"
        1900 E Martin Luther King Blvd B Austin, TX 78702
    ","
        7/5/2016
    ",0.032,0.752,0.216
3,Austin Daily Press,"
        1900 E Martin Luther King Blvd B Austin, TX 78702
    ","
        1/30/2017
    ",0.034,0.723,0.243
4,Austin Daily Press,"
        1900 E Martin Luther King Blvd B Austin, TX 78702
    ","
        1/5/2018
    ",0.058,0.713,0.229
5,Austin Daily Press,"
        1900 E Martin Luther King Blvd B Austin, TX 78702
    ","
        4/19/2017
    ",0.051,0.705,0.244
6,Austin Daily Press,"
        1900 E Martin Luther King Blvd B Austin, TX 78702
    ","
        1/19/2017
    ",0.055,0.697,0.248
7,Austin Daily Press,"
        1900 E Martin Luther King Blvd B Austin, TX 78702
    ","
        10/21/2018
    ",0.04,0.737,0.223
8,Austin Daily Press,"
        1900 E Martin Luther King Blvd B Austin, TX 78702
    ","
        1/30/2018
    ",0.047,0.693,0.261
9,Lupe Tortilla,"
        701 S Capital Of Texas Hwy Ste K Austin, TX 78746
    ","
        6/18/2015
    ",0.047,0.719,0.234
10,Lupe Tortilla,"
        701 S Capital Of Texas Hwy Ste K Austin, TX 78746
    ","
        10/1/2013
    ",0.078,0.751,0.171
11,Lupe Tortilla,"
        701 S Capital Of Texas Hwy Ste K Austin, TX 78746
    ","
        10/5/2015
            ",0.057,0.744,0.199
12,Lupe Tortilla,"
        701 S Capital Of Texas Hwy Ste K Austin, TX 78746
    ","
        11/30/2015
    ",0.058,0.742,0.2
13,Lupe Tortilla,"
        701 S Capital Of Texas Hwy Ste K Austin, TX 78746
    ","
        4/22/2016
    ",0.049,0.713,0.238
14,Lupe Tortilla,"
        701 S Capital Of Texas Hwy Ste K Austin, TX 78746
    ","
        4/14/2017
    ",0.063,0.706,0.23
15,Lupe Tortilla,"
        701 S Capital Of Texas Hwy Ste K Austin, TX 78746
    ","
        7/11/2017
    ",0.031,0.682,0.287
16,Lupe Tortilla,"
        701 S Capital Of Texas Hwy Ste K Austin, TX 78746
    ","
        8/28/2018
    ",0.065,0.754,0.181
17,Workhorse Bar,"
        100 N Loop Blvd E Ste B Austin, TX 78751
    ","
        3/17/2015
    ",0.038,0.68,0.282
18,Workhorse Bar,"
        100 N Loop Blvd E Ste B Austin, TX 78751
    ","
        8/15/2012
    ",0.047,0.741,0.212
19,Workhorse Bar,"
        100 N Loop Blvd E Ste B Austin, TX 78751
    ","
        12/31/2012
    ",0.035,0.677,0.287
20,Austin Daily Press,"
        1900 E Martin Luther King Blvd B Austin, TX 78702
    ","
        2/12/2019
    ",0.074,0.722,0.204
21,Workhorse Bar,"
        100 N Loop Blvd E Ste B Austin, TX 78751
    ","
        9/8/2014
    ",0.044,0.654,0.302
22,Workhorse Bar,"
        100 N Loop Blvd E Ste B Austin, TX 78751
    ","
        4/16/2016
    ",0.071,0.715,0.214
23,Workhorse Bar,"
        100 N Loop Blvd E Ste B Austin, TX 78751
    ","
        9/29/2016
    ",0.052,0.691,0.257
24,Workhorse Bar,"
        100 N Loop Blvd E Ste B Austin, TX 78751
    ","
        4/10/2012
    ",0.042,0.725,0.234
25,Workhorse Bar,"
        100 N Loop Blvd E Ste B Austin, TX 78751
    ","
        8/27/2016
    ",0.038,0.737,0.225
26,Workhorse Bar,"
        100 N Loop Blvd E Ste B Austin, TX 78751
    ","
        2/19/2018
    ",0.049,0.686,0.264
27,Workhorse Bar,"
        100 N Loop Blvd E Ste B Austin, TX 78751
    ","
        6/30/2019
    ",0.044,0.724,0.232
28,Thai Kun,"
        11601 Rock Rose Ave Ste 100 Austin, TX 78758
    ","
        8/15/2017
    ",0.052,0.767,0.18
29,Thai Kun,"
        11601 Rock Rose Ave Ste 100 Austin, TX 78758
    ","
        6/16/2018
    ",0.033,0.768,0.199
30,Thai Kun,"
        11601 Rock Rose Ave Ste 100 Austin, TX 78758
    ","
        12/31/2017
    ",0.054,0.712,0.234
31,Thai Kun,"
        11601 Rock Rose Ave Ste 100 Austin, TX 78758
    ","
        7/27/2017
    ",0.053,0.75,0.196
32,Thai Kun,"
        11601 Rock Rose Ave Ste 100 Austin, TX 78758
    ","
        5/4/2019
    ",0.06,0.731,0.209
33,Thai Kun,"
        11601 Rock Rose Ave Ste 100 Austin, TX 78758
    ","
        5/19/2019
    ",0.048,0.729,0.222
34,Thai Kun,"
        11601 Rock Rose Ave Ste 100 Austin, TX 78758
    ","
        11/12/2018
    ",0.037,0.707,0.256
35,Thai Kun,"
        11601 Rock Rose Ave Ste 100 Austin, TX 78758
    ","
        12/15/2018
    ",0.054,0.738,0.208
36,Las Trancas,"
        1210 E Cesar Chavez St Austin, TX 78702
    ","
        3/20/2017
    ",0.036,0.711,0.252
37,Las Trancas,"
        1210 E Cesar Chavez St Austin, TX 78702
    ","
        10/23/2016
    ",0.04,0.727,0.233
38,Las Trancas,"
        1210 E Cesar Chavez St Austin, TX 78702
    ","
        2/23/2018
    ",0.059,0.74,0.201
39,Las Trancas,"
        1210 E Cesar Chavez St Austin, TX 78702
    ","
        6/14/2017
    ",0.033,0.685,0.282
40,Las Trancas,"
        1210 E Cesar Chavez St Austin, TX 78702
    ","
        4/6/2018
    ",0.041,0.716,0.243
41,Las Trancas,"
        1210 E Cesar Chavez St Austin, TX 78702
    ","
        4/23/2018
    ",0.032,0.762,0.206
42,Juan In A Million,"
        2300 E Cesar Chavez St Austin, TX 78702
    ","
        8/7/2018
    ",0.043,0.745,0.212
43,Juan In A Million,"
        2300 E Cesar Chavez St Austin, TX 78702
    ","
        7/1/2017
    ",0.046,0.75,0.204
44,Juan In A Million,"
        2300 E Cesar Chavez St Austin, TX 78702
    ","
        3/11/2018
    ",0.065,0.75,0.185
45,Juan In A Million,"
        2300 E Cesar Chavez St Austin, TX 78702
    ","
        12/22/2018
    ",0.037,0.734,0.229
46,Juan In A Million,"
        2300 E Cesar Chavez St Austin, TX 78702
    ","
        2/8/2019
    ",0.046,0.739,0.215
47,Juan In A Million,"
        2300 E Cesar Chavez St Austin, TX 78702
    ","
        6/29/2019
    ",0.043,0.75,0.207
48,Juan In A Million,"
        2300 E Cesar Chavez St Austin, TX 78702
    ","
        7/17/2019
    ",0.028,0.743,0.23
49,Juan In A Million,"
        2300 E Cesar Chavez St Austin, TX 78702
    ","
        3/12/2019
    ",0.033,0.732,0.235
50,Juan In A Million,"
        2300 E Cesar Chavez St Austin, TX 78702
    ","
        4/28/2019
    ",0.04,0.735,0.225
51,Russian House,"
        307 E 5th St Austin, TX 78701
    ","
        1/17/2018
    ",0.061,0.721,0.218
52,Russian House,"
        307 E 5th St Austin, TX 78701
    ","
        1/4/2016
    ",0.022,0.752,0.226
53,Las Trancas,"
        1210 E Cesar Chavez St Austin, TX 78702
    ","
        4/4/2019
    ",0.046,0.733,0.221
54,Russian House,"
        307 E 5th St Austin, TX 78701
    ","
        6/22/2018
    ",0.051,0.713,0.236
55,Russian House,"
        307 E 5th St Austin, TX 78701
    ","
        3/22/2018
    ",0.041,0.708,0.251
56,Russian House,"
        307 E 5th St Austin, TX 78701
    ","
        2/1/2019
    ",0.058,0.7,0.241
57,Russian House,"
        307 E 5th St Austin, TX 78701
    ","
        4/23/2019
    ",0.032,0.774,0.194
58,Russian House,"
        307 E 5th St Austin, TX 78701
    ","
        6/23/2019
    ",0.038,0.704,0.258
59,Juan In A Million,"
        2300 E Cesar Chavez St Austin, TX 78702
    ","
        7/27/2019
    ",0.03,0.729,0.241
60,P閼煎崒h閼硷拷,"
        208 W 4th St Austin, TX 78701
    ","
        2/19/2018
    ",0.039,0.654,0.306
61,P閼煎崒h閼硷拷,"
        208 W 4th St Austin, TX 78701
    ","
        4/14/2016
    ",0.037,0.697,0.266
62,P閼煎崒h閼硷拷,"
        208 W 4th St Austin, TX 78701
    ","
        4/19/2019
    ",0.038,0.727,0.235
63,P閼煎崒h閼硷拷,"
        208 W 4th St Austin, TX 78701
    ","
        2/17/2019
    ",0.045,0.697,0.258
64,P閼煎崒h閼硷拷,"
        208 W 4th St Austin, TX 78701
    ","
        9/29/2018
    ",0.045,0.682,0.273
65,360 UNO,"
        3801 N Capital Of Texas Hwy Ste G-100 Austin, TX 78746
    ","
        1/28/2012
    ",0.043,0.742,0.216
66,360 UNO,"
        3801 N Capital Of Texas Hwy Ste G-100 Austin, TX 78746
    ","
        5/4/2016
    ",0.038,0.726,0.236
67,360 UNO,"
        3801 N Capital Of Texas Hwy Ste G-100 Austin, TX 78746
    ","
        7/5/2014
    ",0.048,0.757,0.195
68,360 UNO,"
        3801 N Capital Of Texas Hwy Ste G-100 Austin, TX 78746
    ","
        1/12/2014
    ",0.038,0.744,0.218
69,360 UNO,"
        3801 N Capital Of Texas Hwy Ste G-100 Austin, TX 78746
    ","
        1/16/2015
    ",0.044,0.734,0.222
70,360 UNO,"
        3801 N Capital Of Texas Hwy Ste G-100 Austin, TX 78746
    ","
        5/5/2013
    ",0.044,0.695,0.261
71,360 UNO,"
        3801 N Capital Of Texas Hwy Ste G-100 Austin, TX 78746
    ","
        6/18/2016
    ",0.062,0.698,0.239
72,360 UNO,"
        3801 N Capital Of Texas Hwy Ste G-100 Austin, TX 78746
    ","
        11/18/2016
    ",0.074,0.728,0.198
73,360 UNO,"
        3801 N Capital Of Texas Hwy Ste G-100 Austin, TX 78746
    ","
        7/6/2019
    ",0.035,0.689,0.276
74,Shake Shack,"
        1100 S Lamar Ste 2100 Austin, TX 78704
    ","
        5/12/2015
            ",0.069,0.735,0.196
75,Shake Shack,"
        1100 S Lamar Ste 2100 Austin, TX 78704
    ","
        7/29/2016
    ",0.074,0.688,0.238
76,Shake Shack,"
        1100 S Lamar Ste 2100 Austin, TX 78704
    ","
        6/3/2016
    ",0.064,0.702,0.234
77,Shake Shack,"
        1100 S Lamar Ste 2100 Austin, TX 78704
    ","
        6/26/2015
    ",0.066,0.721,0.213
78,Shake Shack,"
        1100 S Lamar Ste 2100 Austin, TX 78704
    ","
        5/5/2015
    ",0.056,0.753,0.191
79,Shake Shack,"
        1100 S Lamar Ste 2100 Austin, TX 78704
    ","
        5/18/2018
    ",0.071,0.723,0.207
80,Shake Shack,"
        1100 S Lamar Ste 2100 Austin, TX 78704
    ","
        5/10/2016
            ",0.077,0.714,0.21
81,ATX Cocina,"
        110 San Antonio St Ste 170 Austin, TX 78701
    ","
        11/25/2017
    ",0.043,0.704,0.253
82,ATX Cocina,"
        110 San Antonio St Ste 170 Austin, TX 78701
    ","
        3/9/2018
    ",0.035,0.699,0.266
83,ATX Cocina,"
        110 San Antonio St Ste 170 Austin, TX 78701
    ","
        12/14/2018
    ",0.025,0.708,0.267
84,ATX Cocina,"
        110 San Antonio St Ste 170 Austin, TX 78701
    ","
        1/21/2018
    ",0.05,0.703,0.247
85,ATX Cocina,"
        110 San Antonio St Ste 170 Austin, TX 78701
    ","
        3/23/2019
    ",0.051,0.687,0.263
86,ATX Cocina,"
        110 San Antonio St Ste 170 Austin, TX 78701
    ","
        4/24/2018
    ",0.037,0.694,0.269
87,ATX Cocina,"
        110 San Antonio St Ste 170 Austin, TX 78701
    ","
        5/15/2019
    ",0.026,0.708,0.266
88,ATX Cocina,"
        110 San Antonio St Ste 170 Austin, TX 78701
    ","
        7/8/2019
    ",0.026,0.684,0.29
89,Shake Shack,"
        1100 S Lamar Ste 2100 Austin, TX 78704
    ","
        4/1/2019
    ",0.086,0.725,0.189
90,ATX Cocina,"
        110 San Antonio St Ste 170 Austin, TX 78701
    ","
        7/29/2019
    ",0.029,0.713,0.257
91,Chosun Korean BBQ,"
        713 E Huntland Dr Austin, TX 78752
    ","
        5/8/2016
    ",0.044,0.744,0.212
92,Chosun Korean BBQ,"
        713 E Huntland Dr Austin, TX 78752
    ","
        8/22/2015
    ",0.039,0.747,0.214
93,Chosun Korean BBQ,"
        713 E Huntland Dr Austin, TX 78752
    ","
        1/3/2012
    ",0.038,0.75,0.212
94,Chosun Korean BBQ,"
        713 E Huntland Dr Austin, TX 78752
    ","
        5/9/2016
    ",0.042,0.766,0.192
95,Chosun Korean BBQ,"
        713 E Huntland Dr Austin, TX 78752
    ","
        3/6/2017
    ",0.047,0.772,0.181
96,Chosun Korean BBQ,"
        713 E Huntland Dr Austin, TX 78752
    ","
        3/12/2019
    ",0.063,0.797,0.14
97,Chosun Korean BBQ,"
        713 E Huntland Dr Austin, TX 78752
    ","
        10/11/2016
    ",0.061,0.755,0.184
98,Vespaio Ristorante,"
        1610 South Congress Ave Austin, TX 78704
    ","
        2/24/2016
    ",0.044,0.72,0.236
99,Vespaio Ristorante,"
        1610 South Congress Ave Austin, TX 78704
    ","
        2/13/2014
    ",0.041,0.709,0.249
100,Vespaio Ristorante,"
        1610 South Congress Ave Austin, TX 78704
    ","
        10/11/2014
    ",0.032,0.677,0.291
101,Vespaio Ristorante,"
        1610 South Congress Ave Austin, TX 78704
    ","
        12/11/2015
    ",0.038,0.698,0.264
102,Vespaio Ristorante,"
        1610 South Congress Ave Austin, TX 78704
    ","
        12/4/2017
    ",0.027,0.683,0.29
103,Vespaio Ristorante,"
        1610 South Congress Ave Austin, TX 78704
    ","
        2/5/2018
    ",0.028,0.725,0.247
104,Vespaio Ristorante,"
        1610 South Congress Ave Austin, TX 78704
    ","
        10/4/2018
    ",0.042,0.73,0.228
105,Korea House,"
        2700 W Anderson Ln Ste 501 Austin, TX 78757
    ","
        10/9/2017
    ",0.048,0.727,0.226
106,Korea House,"
        2700 W Anderson Ln Ste 501 Austin, TX 78757
    ","
        8/1/2014
    ",0.033,0.758,0.209
107,Chosun Korean BBQ,"
        713 E Huntland Dr Austin, TX 78752
    ","
        6/6/2019
    ",0.042,0.806,0.152
108,Korea House,"
        2700 W Anderson Ln Ste 501 Austin, TX 78757
    ","
        6/13/2018
    ",0.086,0.75,0.164
109,Korea House,"
        2700 W Anderson Ln Ste 501 Austin, TX 78757
    ","
        7/23/2015
    ",0.08,0.756,0.164
110,Korea House,"
        2700 W Anderson Ln Ste 501 Austin, TX 78757
    ","
        12/15/2018
    ",0.079,0.767,0.154
111,Korea House,"
        2700 W Anderson Ln Ste 501 Austin, TX 78757
    ","
        2/4/2019
    ",0.04,0.756,0.204
112,Arpeggio Grill,"
        6619 Airport Blvd Austin, TX 78752
    ","
        12/9/2017
    ",0.052,0.688,0.26
113,Arpeggio Grill,"
        6619 Airport Blvd Austin, TX 78752
    ","
        6/8/2016
    ",0.052,0.692,0.257
114,Vespaio Ristorante,"
        1610 South Congress Ave Austin, TX 78704
    ","
        4/12/2019
    ",0.038,0.707,0.256
115,Arpeggio Grill,"
        6619 Airport Blvd Austin, TX 78752
    ","
        7/8/2017
            ",0.038,0.739,0.223
116,Arpeggio Grill,"
        6619 Airport Blvd Austin, TX 78752
    ","
        12/19/2017
    ",0.04,0.685,0.275
117,Arpeggio Grill,"
        6619 Airport Blvd Austin, TX 78752
    ","
        8/20/2018
    ",0.071,0.703,0.226
118,Arpeggio Grill,"
        6619 Airport Blvd Austin, TX 78752
    ","
        2/8/2018
    ",0.035,0.721,0.244
119,Arpeggio Grill,"
        6619 Airport Blvd Austin, TX 78752
    ","
        6/22/2019
    ",0.057,0.718,0.225
120,Flower Child,"
        500 W 2nd St Austin, TX 78701
    ","
        1/29/2018
    ",0.039,0.725,0.236
121,Korea House,"
        2700 W Anderson Ln Ste 501 Austin, TX 78757
    ","
        7/19/2019
    ",0.059,0.732,0.209
122,Flower Child,"
        500 W 2nd St Austin, TX 78701
    ","
        3/31/2018
    ",0.04,0.658,0.303
123,Flower Child,"
        500 W 2nd St Austin, TX 78701
    ","
        1/19/2019
    ",0.051,0.721,0.228
124,Flower Child,"
        500 W 2nd St Austin, TX 78701
    ","
        11/7/2018
    ",0.036,0.659,0.304
125,Flower Child,"
        500 W 2nd St Austin, TX 78701
    ","
        3/13/2018
    ",0.046,0.709,0.246
126,Flower Child,"
        500 W 2nd St Austin, TX 78701
    ","
        2/16/2019
    ",0.027,0.678,0.295
127,Citizen Eatery,"
        5011 Burnet Rd Austin, TX 78756
    ","
        2/9/2017
    ",0.034,0.71,0.256
128,Citizen Eatery,"
        5011 Burnet Rd Austin, TX 78756
    ","
        7/3/2017
    ",0.027,0.733,0.241
129,Arpeggio Grill,"
        6619 Airport Blvd Austin, TX 78752
    ","
        7/21/2019
    ",0.035,0.724,0.241
130,Citizen Eatery,"
        5011 Burnet Rd Austin, TX 78756
    ","
        5/20/2018
    ",0.054,0.72,0.227
131,Citizen Eatery,"
        5011 Burnet Rd Austin, TX 78756
    ","
        3/9/2019
    ",0.044,0.713,0.244
132,Citizen Eatery,"
        5011 Burnet Rd Austin, TX 78756
    ","
        6/14/2019
    ",0.045,0.717,0.238
